Şehir,Seviye,Pozisyon,Maaş_Net_TL
Ankara,Mid,Data Science,102000
Istanbul,Mid,Fullstack,75000
Istanbul,Junior,Backend,48000
Diğer,Mid,Data Science,83000
Ankara,Junior,QA/Test,52000
Istanbul,Mid,Backend,87000
Istanbul,Junior,Data Science,57000
Ankara,Junior,Backend,56000
Istanbul,Senior,Game Development,101000
Istanbul,Junior,Backend,38000
Istanbul,Junior,Backend,57000
Istanbul,Senior,QA/Test,94000
Istanbul,Mid,Machine Learning,110000
Istanbul,Senior,QA/Test,115000
Istanbul,Mid,Backend,94000
Ankara,Junior,Fullstack,48000
Istanbul,Mid,Backend,114000
Diğer,Mid,Machine Learning,97000
Istanbul,Senior,Backend,141000
Izmir,Junior,Frontend,36000
Istanbul,Senior,Cybersecurity,102000
Istanbul,Junior,Frontend,42000
Istanbul,Senior,Backend,84000
Ankara,Mid,Game Development,70000
Istanbul,Junior,Backend,69000
Diğer,Mid,Mobile,97000
Diğer,Junior,Fullstack,39000
Diğer,Senior,Embedded Software Developer,94000
Istanbul,Mid,Backend,101000
Istanbul,Junior,Backend,37000
Diğer,Junior,Data Science,52000
Izmir,Mid,Backend,100000
Istanbul,Junior,Backend,39000
Istanbul,Senior,UI/UX,92000
Izmir,Senior,Data Science,137000
Izmir,Senior,Product Manager,93000
Istanbul,Senior,QA/Test,119000
Istanbul,Junior,Fullstack,49000
Istanbul,Mid,Frontend,55000
Izmir,Junior,Data Engineer,58000
Istanbul,Mid,Backend,117000
Diğer,Junior,Machine Learning,54000
Diğer,Junior,QA/Test,47000
Istanbul,Junior,Frontend,43000
Istanbul,Junior,Backend,41000
Istanbul,Junior,Frontend,54000
Diğer,Senior,Data Science,158000
Diğer,Mid,Frontend,75000
Istanbul,Senior,Machine Learning,143000
Diğer,Mid,DevOps,118000
Ankara,Senior,Backend,145000
Istanbul,Mid,Frontend,69000
Ankara,Mid,UI/UX,55000
Diğer,Mid,Data Science,104000
Istanbul,Junior,Frontend,54000
Diğer,Junior,Data Science,72000
Ankara,Senior,Data Science,165000
Istanbul,Senior,Machine Learning,145000
Istanbul,Mid,DevOps,105000
Ankara,Mid,Backend,58000
Istanbul,Mid,Data Engineer,80000
Istanbul,Junior,Frontend,47000
Istanbul,Mid,Frontend,59000
Ankara,Junior,Fullstack,60000
Istanbul,Junior,Frontend,52000
Diğer,Senior,UI/UX,61000
Istanbul,Junior,DevOps,64000
Diğer,Mid,Game Development,80000
Istanbul,Junior,DevOps,46000
Diğer,Mid,Backend,92000
Istanbul,Junior,Product Manager,58000
Izmir,Senior,Frontend,107000
Izmir,Junior,Product Manager,46000
Istanbul,Senior,Fullstack,130000
Istanbul,Mid,Frontend,80000
Istanbul,Junior,Fullstack,50000
Ankara,Mid,Embedded Software Developer,95000
Istanbul,Mid,Backend,98000
Istanbul,Junior,Data Science,57000
Diğer,Junior,Mobile,45000
Istanbul,Junior,Backend,61000
Diğer,Junior,QA/Test,43000
Istanbul,Mid,Backend,91000
Ankara,Senior,Backend,160000
Istanbul,Junior,Fullstack,68000
Istanbul,Senior,Product Manager,119000
Ankara,Junior,Fullstack,57000
Istanbul,Mid,Backend,92000
Diğer,Senior,Product Manager,110000
Istanbul,Senior,QA/Test,115000
Izmir,Senior,Machine Learning,141000
Ankara,Junior,DevOps,58000
Ankara,Junior,Backend,47000
Istanbul,Senior,Backend,169000
